Player,Team,PrizePick-Line,Match-1,Match-2,Match-3,Match-4,Match-5,Match-6,Match-7,Match-8,Match-9,Match-10,O/U %,Average,Difference +/-,Odds,Unnamed: 17
headtr1ck(kills),B8,32,31,32,29,30,34,40,25,43,37,28,40%,32.9,0.9,,
headtr1ck(hs),B8,11,8,12,7,17,10,8,11,11,7,9,20%,10.0,-1.0,,
kensizor(kills),B8,30,20,30,31,17,32,33,36,23,41,40,60%,30.3,0.3,,
kensizor(hs),B8,18,13,18,14,11,22,22,22,12,25,28,50%,18.7,0.7,,
h1te(kills),Betera,31.5,34,28,28,20,38,25,28,33,28,35,40%,29.7,-1.8,,
h1te(hs),Betera,11.5,18,10,7,10,12,12,9,17,15,8,50%,11.8,0.3,,
Vert(kills),Betera,25.5,25,8,27,15,20,15,18,28,38,22,30%,21.6,-3.9,,
Vert(hs),Betera,12.5,14,2,14,7,10,5,9,15,16,6,40%,9.8,-2.7,,
synyx(kills),Betera,30.5,28,23,31,30,25,38,36,33,35,23,50%,30.2,-0.3,,
synyx(hs),Betera,17,16,14,22,18,18,23,21,18,20,12,70%,18.2,1.2,,
tENZY(kills),Betera,30.5,31,33,24,33,34,25,31,23,25,23,50%,28.2,-2.3,,
tENZY(hs),Betera,19.5,17,21,19,20,27,18,21,16,16,13,40%,18.8,-0.7,,
MaSvAl(kills),Betera,29.5,16,35,31,30,25,25,27,36,33,30,60%,28.8,-0.7,,
MaSvAl(hs),Betera,17.5,10,22,15,24,11,19,14,20,23,21,60%,17.9,0.4,,
nut nut(kills),ECSTATIC,31,27,39,25,31,36,19,22,64,45,34,50%,34.2,3.2,,
nut nut(hs),ECSTATIC,18.5,13,28,13,17,20,11,10,40,28,21,50%,20.1,1.6,,
TMB(kills),ECSTATIC,26.5,28,13,25,27,28,24,32,39,19,24,50%,25.9,-0.6,,
TMB(hs),ECSTATIC,15,19,8,14,15,12,15,20,18,12,13,30%,14.6,-0.4,,
Anlelele(kills),ECSTATIC,30.5,40,27,16,29,35,28,30,34,35,33,50%,30.7,0.2,,
Anlelele(hs),ECSTATIC,15,13,16,11,18,18,14,12,19,21,23,60%,16.5,1.5,,
Kristou(kills),ECSTATIC,29.5,26,36,28,12,27,30,18,44,29,21,30%,27.1,-2.4,,
Kristou(hs),ECSTATIC,11,8,19,12,1,2,12,5,17,10,7,40%,9.3,-1.7,,
sirah(kills),ECSTATIC,32.5,42,28,35,20,27,32,31,58,29,49,40%,35.1,2.6,,
sirah(hs),ECSTATIC,18,29,16,21,16,12,17,15,31,16,28,40%,20.1,2.1,,
teme(kills),ENCE Academy,31.5,38,33,39,27,27,17,30,29,41,21,40%,30.2,-1.3,,
teme(hs),ENCE Academy,16,27,18,17,14,15,12,21,14,30,8,50%,17.6,1.6,,
millert(kills),ENCE Academy,25.5,25,22,28,17,17,21,14,28,38,20,30%,23.0,-2.5,,
millert(hs),ENCE Academy,10,16,11,13,12,4,10,4,2,8,12,50%,9.2,-0.8,,
myltsi(kills),ENCE Academy,33,27,46,44,25,33,28,23,49,33,34,40%,34.2,1.2,,
myltsi(hs),ENCE Academy,18.5,16,24,28,22,15,15,17,22,19,21,60%,19.9,1.4,,
2high(kills),ENCE Academy,29.5,37,46,41,17,16,19,25,37,33,16,50%,28.7,-0.8,,
2high(hs),ENCE Academy,14.5,16,28,20,6,8,11,11,16,17,9,50%,14.2,-0.3,,
Schwarz(kills),ENCE Academy,29.5,21,28,37,28,34,32,30,24,27,26,40%,28.7,-0.8,,
Schwarz(hs),ENCE Academy,16,12,17,22,21,20,21,17,14,13,12,60%,16.9,0.9,,
t3ns1on(kills),FAVBET,30.5,58,30,39,22,33,25,22,42,25,43,50%,33.9,3.4,,
t3ns1on(hs),FAVBET,10.5,15,6,13,10,10,7,13,21,6,16,50%,11.7,1.2,,
bondik(kills),FAVBET,28.5,31,39,30,31,19,29,44,28,23,39,70%,31.3,2.8,,
bondik(hs),FAVBET,15.5,20,17,20,23,8,16,26,13,13,24,70%,18.0,2.5,,
Marix(kills),FAVBET,31,35,20,33,25,35,33,27,37,33,46,70%,32.4,1.4,,
Marix(hs),FAVBET,17.5,12,7,14,12,21,17,19,21,21,27,50%,17.1,-0.4,,
Smash(kills),FAVBET,29.5,46,37,26,33,22,27,20,18,29,28,30%,28.6,-0.9,,
Smash(hs),FAVBET,15,25,17,12,17,14,12,8,9,15,11,30%,14.0,-1.0,,
j3kie(kills),FAVBET,30,45,52,40,33,29,27,29,22,34,43,60%,35.4,5.4,,
j3kie(hs),FAVBET,19.5,28,30,27,22,24,21,19,18,20,23,80%,23.2,3.7,,
Banjo(kills),Fire Flux,29.5,19,40,24,33,39,25,37,17,62,26,50%,32.2,2.7,,
Banjo(hs),Fire Flux,15,12,22,13,14,25,13,26,9,31,13,40%,17.8,2.8,,
paz(kills),Fire Flux,29,15,24,28,49,37,28,27,22,53,27,30%,31.0,2.0,,
paz(hs),Fire Flux,15,6,13,14,24,22,12,19,8,36,14,40%,16.8,1.8,,
S3NSEY(kills),Fire Flux,29.5,16,23,27,39,23,33,35,17,33,41,50%,28.7,-0.8,,
S3NSEY(hs),Fire Flux,9.5,6,8,6,4,8,11,8,3,13,12,30%,7.9,-1.6,,
soulfly(kills),Fire Flux,33.5,16,25,41,41,35,30,37,22,52,43,60%,34.2,0.7,,
soulfly(hs),Fire Flux,16.5,10,12,24,19,15,17,15,9,27,23,50%,17.1,0.6,,
ScrunK(kills),Fire Flux,24,33,18,32,26,26,25,25,36,22,21,70%,26.4,2.4,,
ScrunK(hs),Fire Flux,12.5,16,9,20,12,17,15,12,15,11,9,50%,13.6,1.1,,
Sapec(kills),Johnny Speeds,30,26,38,30,32,38,26,28,41,31,25,50%,31.5,1.5,,
Sapec(hs),Johnny Speeds,17.5,18,25,13,23,21,14,15,25,19,17,60%,19.0,1.5,,
draken(kills),Johnny Speeds,33.5,42,35,29,26,44,37,30,44,32,33,50%,35.2,1.7,,
draken(hs),Johnny Speeds,11.5,11,13,11,11,13,11,5,10,14,13,40%,11.2,-0.3,,
SHiNE(kills),Johnny Speeds,24.5,20,22,18,15,28,25,16,36,16,23,30%,21.9,-2.6,,
SHiNE(hs),Johnny Speeds,13,10,12,8,7,12,11,7,20,7,14,20%,10.8,-2.2,,
MaiL09(kills),Johnny Speeds,34.5,22,35,29,28,36,36,42,32,39,30,50%,32.9,-1.6,,
MaiL09(hs),Johnny Speeds,21,14,18,24,12,25,20,26,22,21,19,40%,20.1,-0.9,,
Ro1f(kills),Johnny Speeds,26.5,37,22,29,28,33,23,23,33,24,28,60%,28.0,1.5,,
Ro1f(hs),Johnny Speeds,15,24,12,18,18,18,10,11,17,10,21,60%,15.9,0.9,,
cmtry(kills),NAVI Junior,29,25,25,34,19,30,34,44,31,27,29,50%,29.8,0.8,,
cmtry(hs),NAVI Junior,11.5,9,10,18,11,12,15,21,17,8,8,50%,12.9,1.4,,
dziugss(kills),NAVI Junior,28.5,20,34,25,37,33,25,30,23,42,39,60%,30.8,2.3,,
dziugss(hs),NAVI Junior,15.5,9,15,11,19,14,16,17,11,25,19,50%,15.6,0.1,,
krabeni(kills),NAVI Junior,32.5,36,30,29,30,32,35,39,37,28,30,40%,32.6,0.1,,
krabeni(hs),NAVI Junior,18.5,26,17,17,17,24,21,27,16,12,14,40%,19.1,0.6,,
Dem0N(kills),NAVI Junior,29.5,25,22,28,31,34,23,37,33,32,30,60%,29.5,0.0,,
Dem0N(hs),NAVI Junior,20.5,17,14,23,19,25,16,24,22,17,22,50%,19.9,-0.6,,
makazze(kills),NAVI Junior,33,36,51,29,36,39,33,45,38,48,26,70%,38.1,5.1,,
makazze(hs),NAVI Junior,17.5,26,20,17,20,19,15,25,13,28,14,60%,19.7,2.2,,
riskyb0b(kills),Nemiga,28.5,21,32,32,21,26,26,29,23,30,26,40%,26.6,-1.9,,
riskyb0b(hs),Nemiga,15,5,17,22,14,16,16,14,9,13,15,40%,14.1,-0.9,,
khaN(kills),Nemiga,31,26,31,30,21,30,32,31,34,43,31,30%,30.9,-0.1,,
khaN(hs),Nemiga,11,15,17,11,7,6,11,14,18,12,7,50%,11.8,0.8,,
1eeR(kills),Nemiga,26,20,28,22,17,26,30,28,22,22,34,40%,24.9,-1.1,,
1eeR(hs),Nemiga,13,10,14,13,10,10,22,13,9,16,22,40%,13.9,0.9,,
zweih(kills),Nemiga,31,29,38,38,28,30,35,27,27,37,31,40%,32.0,1.0,,
zweih(hs),Nemiga,16,14,21,19,13,18,19,18,12,23,19,70%,17.6,1.6,,
Xant3r(kills),Nemiga,27.5,20,27,39,27,33,29,26,20,27,23,30%,27.1,-0.4,,
Xant3r(hs),Nemiga,16.5,9,12,18,18,19,18,20,14,18,10,60%,15.6,-0.9,,
Qikert(kills),PARIVISION,29.5,31,31,39,31,17,40,33,22,32,28,70%,30.4,0.9,,
Qikert(hs),PARIVISION,16.5,23,19,16,18,8,24,17,14,14,18,60%,17.1,0.6,,
Jame(kills),PARIVISION,31.5,30,31,34,35,17,19,30,28,29,31,20%,28.4,-3.1,,
Jame(hs),PARIVISION,10.5,13,8,9,14,8,7,6,11,8,11,40%,9.5,-1.0,,
TRAVIS(kills),PARIVISION,27.5,20,25,29,21,24,22,22,21,21,27,10%,23.2,-4.3,,
TRAVIS(hs),PARIVISION,14.5,7,12,14,13,14,15,12,14,11,17,20%,12.9,-1.6,,
BELCHONOKK(kills),PARIVISION,32,29,25,40,35,39,19,31,35,26,27,40%,30.6,-1.4,,
BELCHONOKK(hs),PARIVISION,17,16,10,22,19,26,16,16,18,14,10,40%,16.7,-0.3,,
nota(kills),PARIVISION,30.5,25,30,43,24,33,20,27,27,32,26,30%,28.7,-1.8,,
nota(hs),PARIVISION,17.5,15,17,27,14,20,10,15,18,18,18,50%,17.2,-0.3,,
Patti(kills),Preasy,24.5,21,14,19,21,28,20,29,28,18,34,40%,23.2,-1.3,,
Patti(hs),Preasy,15,7,10,12,13,16,14,16,14,9,21,30%,13.2,-1.8,,
Viggo(kills),Preasy,29.5,18,26,17,14,28,33,58,22,38,26,30%,28.0,-1.5,,
Viggo(hs),Preasy,16,9,14,11,4,15,21,40,13,24,9,30%,16.0,0.0,,
Griller(kills),Preasy,27.5,18,32,21,30,23,36,23,23,28,39,50%,27.3,-0.2,,
Griller(hs),Preasy,15,7,18,10,11,15,19,15,6,9,20,30%,13.0,-2.0,,
Beccie(kills),Preasy,29.5,26,45,24,30,46,28,30,30,32,39,70%,33.0,3.5,,
Beccie(hs),Preasy,16.5,16,29,13,15,27,13,14,10,19,27,40%,18.3,1.8,,
AcilioN(kills),Preasy,23.5,20,20,21,21,29,35,37,21,19,11,30%,23.4,-0.1,,
AcilioN(hs),Preasy,9.5,6,6,9,7,9,10,13,8,8,6,20%,8.2,-1.3,,
Flayy(kills),Rebels,32,28,25,40,20,60,26,35,24,30,20,30%,30.8,-1.2,,
Flayy(hs),Rebels,11,9,16,23,10,14,12,15,13,7,6,60%,12.5,1.5,,
kisserek(kills),Rebels,30,36,24,28,22,32,25,26,30,30,31,30%,28.4,-1.6,,
kisserek(hs),Rebels,16.5,24,15,14,15,11,13,14,18,19,23,40%,16.6,0.1,,
innocent(kills),Rebels,26.5,23,16,17,18,45,22,33,34,28,25,40%,26.1,-0.4,,
innocent(hs),Rebels,11.5,10,3,9,5,21,12,18,11,14,12,50%,11.5,0.0,,
Sobol(kills),Rebels,27,31,21,28,12,34,16,30,26,33,24,50%,25.5,-1.5,,
Sobol(hs),Rebels,15.5,20,13,13,8,18,12,18,15,21,13,40%,15.1,-0.4,,
tomiko(kills),Rebels,30.5,17,20,47,14,47,20,44,23,30,27,30%,28.9,-1.6,,
tomiko(hs),Rebels,18,10,10,28,9,26,13,22,14,12,10,30%,15.4,-2.6,,
IceBerg(kills),Sashi,25.5,22,22,23,17,17,27,19,30,32,30,40%,23.9,-1.6,,
IceBerg(hs),Sashi,14.5,14,13,16,9,10,14,11,23,21,17,40%,14.8,0.3,,
Cabbi(kills),Sashi,29.5,38,19,28,32,29,38,29,36,27,29,40%,30.5,1.0,,
Cabbi(hs),Sashi,18,21,13,12,20,21,26,19,21,10,15,60%,17.8,-0.2,,
Lucky(kills),Sashi,32,34,25,28,30,27,38,38,47,29,34,50%,33.0,1.0,,
Lucky(hs),Sashi,15,15,10,13,15,10,13,23,16,13,11,20%,13.9,-1.1,,
Zyphon(kills),Sashi,31.5,32,30,23,26,32,31,25,37,29,40,40%,30.5,-1.0,,
Zyphon(hs),Sashi,18,17,15,14,17,18,19,17,17,19,24,30%,17.7,-0.3,,
niko(kills),Sashi,27,37,50,35,19,35,34,39,37,28,40,90%,35.4,8.4,,
niko(hs),Sashi,15,17,28,15,9,16,22,17,26,16,21,80%,18.7,3.7,,
beastik(kills),SINNERS,27,31,40,27,24,20,12,16,47,36,16,40%,26.9,-0.1,,
beastik(hs),SINNERS,16.5,18,25,15,16,15,5,12,26,22,7,40%,16.1,-0.4,,
SHOCK(kills),SINNERS,26.5,20,25,22,28,32,24,23,33,30,30,50%,26.7,0.2,,
SHOCK(hs),SINNERS,15.5,12,18,11,13,22,16,14,19,18,17,60%,16.0,0.5,,
Pepo(kills),SINNERS,28.5,29,41,29,31,15,30,19,45,28,14,60%,28.1,-0.4,,
Pepo(hs),SINNERS,9.5,7,14,14,12,5,10,4,13,8,6,50%,9.3,-0.2,,
ZEDKO(kills),SINNERS,30.5,38,32,35,23,30,28,35,53,24,27,50%,32.5,2.0,,
ZEDKO(hs),SINNERS,17.5,20,18,17,15,17,19,22,30,17,20,60%,19.5,2.0,,
MoriiSko(kills),SINNERS,28.5,32,27,27,35,28,19,21,29,26,30,40%,27.4,-1.1,,
MoriiSko(hs),SINNERS,16,17,15,15,22,18,9,10,17,17,14,50%,15.4,-0.6,,
kyousuke(kills),Spirit Academy,36,41,27,43,39,28,25,51,42,27,36,50%,35.9,-0.1,,
kyousuke(hs),Spirit Academy,20.5,17,7,24,22,17,16,31,23,17,21,50%,19.5,-1.0,,
alkarenn(kills),Spirit Academy,31,36,23,26,42,25,18,40,31,35,34,50%,31.0,0.0,,
alkarenn(hs),Spirit Academy,9.5,19,11,10,13,9,5,10,15,9,10,70%,11.1,1.6,,
robo(kills),Spirit Academy,28,30,25,25,34,23,20,37,20,31,21,40%,26.6,-1.4,,
robo(hs),Spirit Academy,14.5,15,18,16,15,7,14,17,10,18,12,60%,14.2,-0.3,,
syph0(kills),Spirit Academy,27.5,29,15,29,35,21,14,39,24,25,28,50%,25.9,-1.6,,
syph0(hs),Spirit Academy,16.5,22,10,19,21,14,14,26,15,17,14,50%,17.2,0.7,,
Mokuj1n(kills),Spirit Academy,28,39,13,30,23,17,18,28,21,27,25,20%,24.1,-3.9,,
Mokuj1n(hs),Spirit Academy,15,21,3,15,11,10,11,14,10,15,14,10%,12.4,-2.6,,
n1Xen(kills),WOPA,29.5,18,44,30,39,29,34,38,30,36,31,80%,32.9,3.4,,
n1Xen(hs),WOPA,18,13,34,19,25,15,22,25,22,21,26,80%,22.2,4.2,,
sL1m3(kills),WOPA,32,30,42,30,36,32,47,37,32,27,42,50%,35.5,3.5,,
sL1m3(hs),WOPA,12,19,22,3,7,15,19,11,12,8,13,50%,12.9,0.9,,
Vster(kills),WOPA,27,20,33,25,36,23,38,13,24,31,27,40%,27.0,0.0,,
Vster(hs),WOPA,14,9,19,12,17,13,23,10,14,17,13,40%,14.7,0.7,,
Gnøffe(kills),WOPA,27,14,32,22,20,30,26,22,33,22,31,40%,25.2,-1.8,,
Gnøffe(hs),WOPA,14,8,21,11,7,17,13,12,18,9,19,40%,13.5,-0.5,,
PR1mE(kills),WOPA,29.5,20,35,35,40,32,33,31,40,28,42,80%,33.6,4.1,,
PR1mE(hs),WOPA,15.5,10,20,19,22,18,23,16,24,19,21,90%,19.2,3.7,,
aVN(kills),Zero Tenacity,25.5,26,32,9,24,26,16,37,19,25,24,40%,23.8,-1.7,,
aVN(hs),Zero Tenacity,14,17,16,2,12,18,7,22,14,17,15,60%,14.0,0.0,,
brutmonster(kills),Zero Tenacity,28.5,20,27,23,37,33,21,31,27,18,22,30%,25.9,-2.6,,
brutmonster(hs),Zero Tenacity,10,4,13,9,16,14,9,9,5,8,6,30%,9.3,-0.7,,
nEMANHA(kills),Zero Tenacity,31,31,33,23,30,34,22,35,37,27,38,50%,31.0,0.0,,
nEMANHA(hs),Zero Tenacity,18,12,21,10,17,21,13,25,21,17,20,50%,17.7,-0.3,,
simke(kills),Zero Tenacity,31,29,43,21,23,42,23,40,36,24,26,40%,30.7,-0.3,,
simke(hs),Zero Tenacity,19,17,30,14,14,30,14,28,17,10,13,30%,18.7,-0.3,,
Cjoffo(kills),Zero Tenacity,29.5,39,30,21,25,29,27,18,28,22,31,30%,27.0,-2.5,,
Cjoffo(hs),Zero Tenacity,17.5,23,15,14,18,17,20,7,14,12,25,40%,16.5,-1.0,,
